交易日期,到期日期,履約價,買賣權,成交量,收盤價,結算價,期貨成交量,期貨開盤價,期貨最高價,期貨最低價,期貨收盤價,期貨結算價,到期天數,無風險利率,隱含波動率(結算價),隱含波動率(收盤價)
2014/02/07,2014/09/17,6600.0,put,575,31.5,31.5,110,8000,8035,7989,8012,8012,222,0.0110499999999999,0.17126340699458054,0.17126340699458054
2014/02/07,2014/09/17,6800.0,put,336,49.0,49.0,110,8000,8035,7989,8012,8012,222,0.0110499999999999,0.1686368366676616,0.1686368366676616
2014/02/07,2014/09/17,7000.0,put,195,71.0,71.0,110,8000,8035,7989,8012,8012,222,0.0110499999999999,0.16391573297067796,0.16391573297067796
2014/02/07,2014/09/17,7200.0,put,262,101.0,101.0,110,8000,8035,7989,8012,8012,222,0.0110499999999999,0.15924394645136225,0.15924394645136225
2014/02/07,2014/09/17,7400.0,put,204,142.0,142.0,110,8000,8035,7989,8012,8012,222,0.0110499999999999,0.1551231718975828,0.1551231718975828
2014/02/07,2014/09/17,7600.0,put,128,195.0,195.0,110,8000,8035,7989,8012,8012,222,0.0110499999999999,0.1508290873947038,0.1508290873947038
2014/02/07,2014/09/17,7800.0,put,35,257.0,257.0,110,8000,8035,7989,8012,8012,222,0.0110499999999999,0.14428327012021613,0.14428327012021613
2014/02/07,2014/09/17,8200.0,call,86,274.0,274.0,110,8000,8035,7989,8012,8012,222,0.0110499999999999,0.14366073662524884,0.14366073662524884
2014/02/07,2014/09/17,8200.0,put,161,450.0,450.0,110,8000,8035,7989,8012,8012,222,0.0110499999999999,0.1392704300044076,0.1392704300044076
2014/02/07,2014/09/17,8400.0,call,104,184.0,184.0,110,8000,8035,7989,8012,8012,222,0.0110499999999999,0.13525438283738836,0.13525438283738836
2014/02/07,2014/09/17,8400.0,put,74,565.0,565.0,110,8000,8035,7989,8012,8012,222,0.0110499999999999,0.13332952488781905,0.13332952488781905
2014/02/07,2014/09/17,8600.0,call,193,130.0,130.0,110,8000,8035,7989,8012,8012,222,0.0110499999999999,0.13511066027215424,0.13511066027215424
2014/02/07,2014/09/17,8600.0,put,56,710.0,710.0,110,8000,8035,7989,8012,8012,222,0.0110499999999999,0.13311680666267295,0.13311680666267295
2014/02/07,2014/09/17,8800.0,call,31,87.0,87.0,110,8000,8035,7989,8012,8012,222,0.0110499999999999,0.13351566460686656,0.13351566460686656
2014/02/07,2014/09/17,9000.0,call,116,56.0,56.0,110,8000,8035,7989,8012,8012,222,0.0110499999999999,0.13190492858140532,0.13190492858140532
2014/02/07,2014/09/17,9200.0,call,208,36.0,36.0,110,8000,8035,7989,8012,8012,222,0.0110499999999999,0.13161618129534583,0.13161618129534583
2014/02/07,2014/09/17,9400.0,call,116,23.5,23.5,110,8000,8035,7989,8012,8012,222,0.0110499999999999,0.13255298122656195,0.13255298122656195
2014/02/07,2014/09/17,9600.0,call,175,14.0,14.0,110,8000,8035,7989,8012,8012,222,0.0110499999999999,0.13155152007597515,0.13155152007597515
2014/02/10,2014/09/17,6600.0,put,225,30.0,30.0,63,8041,8070,8024,8024,8024,219,0.0110499999999999,0.17145537578879091,0.17145537578879091
2014/02/10,2014/09/17,6800.0,put,247,44.0,44.0,63,8041,8070,8024,8024,8024,219,0.0110499999999999,0.1659243515397791,0.1659243515397791
2014/02/10,2014/09/17,7000.0,put,255,65.0,65.0,63,8041,8070,8024,8024,8024,219,0.0110499999999999,0.16155967747562014,0.16155967747562014
2014/02/10,2014/09/17,7200.0,put,64,92.0,92.0,63,8041,8070,8024,8024,8024,219,0.0110499999999999,0.1559464921399737,0.1559464921399737
2014/02/10,2014/09/17,7400.0,put,97,134.0,134.0,63,8041,8070,8024,8024,8024,219,0.0110499999999999,0.15340786595881986,0.15340786595881986
2014/02/10,2014/09/17,7800.0,put,37,245.0,245.0,63,8041,8070,8024,8024,8024,219,0.0110499999999999,0.14208437309924143,0.14208437309924143
2014/02/10,2014/09/17,8200.0,call,44,283.0,269.0,63,8041,8070,8024,8024,8024,219,0.0110499999999999,0.14041727115914834,0.14615697941631806
2014/02/10,2014/09/17,8400.0,call,40,185.0,185.0,63,8041,8070,8024,8024,8024,219,0.0110499999999999,0.13479009388125182,0.13479009388125182
2014/02/10,2014/09/17,8600.0,call,149,125.0,125.0,63,8041,8070,8024,8024,8024,219,0.0110499999999999,0.1319925389408707,0.1319925389408707
2014/02/10,2014/09/17,8800.0,call,35,85.0,82.0,63,8041,8070,8024,8024,8024,219,0.0110499999999999,0.13012086669630762,0.13188227884633594
2014/02/10,2014/09/17,9000.0,call,78,54.0,54.0,63,8041,8070,8024,8024,8024,219,0.0110499999999999,0.13012664543355065,0.13012664543355065
2014/02/10,2014/09/17,9200.0,call,256,34.0,34.0,63,8041,8070,8024,8024,8024,219,0.0110499999999999,0.12952000986728848,0.12952000986728848
2014/02/10,2014/09/17,9400.0,call,176,20.5,20.5,63,8041,8070,8024,8024,8024,219,0.0110499999999999,0.12861931052026546,0.12861931052026546
2014/02/10,2014/09/17,9600.0,call,158,12.5,12.5,63,8041,8070,8024,8024,8024,219,0.0110499999999999,0.1288256298332981,0.1288256298332981
2014/02/10,2014/09/17,9800.0,call,66,8.3,7.5,63,8041,8070,8024,8024,8024,219,0.0110499999999999,0.12914527399354872,0.1312455213103089
2014/02/11,2014/09/17,6600.0,put,62,23.5,23.5,98,8000,8075,8000,8073,8074,218,0.0110499999999999,0.16662110599291016,0.16654291141139463
2014/02/11,2014/09/17,6800.0,put,224,36.5,36.5,98,8000,8075,8000,8073,8074,218,0.0110499999999999,0.16266510532043038,0.1625797767188579
2014/02/11,2014/09/17,7000.0,put,68,58.0,58.0,98,8000,8075,8000,8073,8074,218,0.0110499999999999,0.16103101270461298,0.16093645563158288
2014/02/11,2014/09/17,7200.0,put,91,84.0,84.0,98,8000,8075,8000,8073,8074,218,0.0110499999999999,0.1563597578052064,0.15625512786623896
2014/02/11,2014/09/17,7400.0,put,48,116.0,116.0,98,8000,8075,8000,8073,8074,218,0.0110499999999999,0.1498577258049654,0.14974119908707853
2014/02/11,2014/09/17,8200.0,put,40,405.0,405.0,98,8000,8075,8000,8073,8074,218,0.0110499999999999,0.13598326247254136,0.13576611165882185
